id	BioSample_id	BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleTitle	BioSampleName	BioSamplePackage	BioSampleOrganism	BioSampleOrganismAlt	BioSampleTaxonomyID	BioSampleIsolate	BioSampleCollectedBy	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleHostDisease	BioSampleHostAge	BioSampleHostAgeUnit	BioSampleHostSex	BioSampleHostAnatomicalPart	BioSamplePassageHistory	BioSampleGISAIDAccession	BioSampleGISAIDVirusName	BioSampleSequencedBy	BioSamplePurposeSampling	BioSamplePurposeSequencing	BioSampleCollectionDevice	BioSampleDiagGeneName	BioSamplePCRCtValue	BioSampleIsolationSource	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleSubmissionDate	BioSampleModificationDate	BioSamplePublicationDate	BioSampleOrganization	BioSampleComment
1	29612585	SAMN29612585		PRJNA857067	SRS14083986	Pathogen: environmental/food/other sample from Streptococcus agalactiae	KALRO-Sagal2	Pathogen.env.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		KALRO	2021-12-10	Kenya:Laikipia ranch	Camelus dromedarius															mastitis-infection		0.360600 N 36.782000 E		2022-07-08T16:32:14.963	2022-07-22T12:33:30.260	2022-07-08T00:00:00.000	Kenya Agricultural and Livestock Research Organisation
31	2670288	SAMEA2238164			ERS366976	11791_7#88		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2005	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:14.483	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
32	2670287	SAMEA2238163			ERS366975	11791_7#87		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2004	Kenya	Homo sapiens															sterile site				2014-02-28T19:08:14.430	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
33	2670286	SAMEA2238160			ERS366972	11791_7#86		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2004	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:14.380	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
34	2670285	SAMEA2238159			ERS366971	11791_7#85		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2004	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:14.330	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
35	2670284	SAMEA2238154			ERS366966	11791_7#84		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															sterile site				2014-02-28T19:08:14.270	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
36	2670283	SAMEA2238153			ERS366965	11791_7#83		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															sterile site				2014-02-28T19:08:14.206	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
37	2670282	SAMEA2238152			ERS366964	11791_7#82		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															sepsis (no localising source)				2014-02-28T19:08:14.153	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
38	2670281	SAMEA2238149			ERS366961	11791_7#81		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:14.103	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
39	2670280	SAMEA2238145			ERS366957	11791_7#80		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2001	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:14.053	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
40	2670279	SAMEA2238141			ERS366953	11791_7#79		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2001	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:14.006	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
41	2670278	SAMEA2238138			ERS366950	11791_7#78		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2000	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:13.956	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
42	2670277	SAMEA2238137			ERS366949	11791_7#77		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2000	Kenya	Homo sapiens															sterile site				2014-02-28T19:08:13.906	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
43	2670275	SAMEA2238134			ERS366946	11791_7#75		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2000	Kenya	Homo sapiens															sepsis (no localising source)				2014-02-28T19:08:13.810	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
44	2670274	SAMEA2238133			ERS366945	11791_7#74		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2000	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:13.763	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
45	2670273	SAMEA2238132			ERS366944	11791_7#73		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2000	Kenya	Homo sapiens															skin, soft tissue infection				2014-02-28T19:08:13.710	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
46	2670272	SAMEA2238131			ERS366943	11791_7#72		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1998	Kenya	Homo sapiens															Meningitis, Pneumonia				2014-02-28T19:08:13.660	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
47	2670271	SAMEA2238130			ERS366942	11791_7#71		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1998	Kenya	Homo sapiens															sterile site				2014-02-28T19:08:13.560	2021-08-21T02:29:28.000	2014-02-24T00:00:00.000	EBI
48	1920634	SAMEA1711610			ERS180472	8898_1#70		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2007	Kenya	Homo sapiens															skin, soft tissue infection				2013-02-14T09:05:15.650	2021-08-21T01:34:09.000	2013-02-11T00:00:00.000	EBI
49	1920330	SAMEA1711737			ERS180773	8898_2#83		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:45.420	2021-08-21T01:34:12.000	2013-02-11T00:00:00.000	EBI
50	1920329	SAMEA1711714			ERS180772	8898_2#82		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:45.390	2021-08-21T01:34:12.000	2013-02-11T00:00:00.000	EBI
51	1920326	SAMEA1711763			ERS180769	8898_2#79		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2000	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:45.266	2021-08-21T01:34:13.000	2013-02-11T00:00:00.000	EBI
52	1920325	SAMEA1711781			ERS180768	8898_2#78		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2004	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:45.230	2021-08-21T01:34:13.000	2013-02-11T00:00:00.000	EBI
53	1920324	SAMEA1711601			ERS180767	8898_2#77		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:45.186	2021-08-21T01:34:09.000	2013-02-11T00:00:00.000	EBI
54	1920323	SAMEA1711617			ERS180766	8898_2#76		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:45.150	2021-08-21T01:34:09.000	2013-02-11T00:00:00.000	EBI
55	1920322	SAMEA1711555			ERS180765	8898_2#75		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1998	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:45.110	2021-08-21T01:34:08.000	2013-02-11T00:00:00.000	EBI
56	1920321	SAMEA1711580			ERS180764	8898_2#74		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2006	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:45.080	2021-08-21T01:34:08.000	2013-02-12T00:00:00.000	EBI
57	1920320	SAMEA1711591			ERS180763	8898_2#73		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:45.030	2021-08-21T01:34:09.000	2013-02-11T00:00:00.000	EBI
58	1920318	SAMEA1711687			ERS180761	8898_2#71		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1999	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.950	2021-08-21T01:34:11.000	2013-02-11T00:00:00.000	EBI
59	1920317	SAMEA1711627			ERS180760	8898_2#70		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2009	Kenya	Homo sapiens															urine				2013-02-13T19:05:44.913	2021-08-21T01:34:10.000	2013-02-11T00:00:00.000	EBI
60	1920314	SAMEA1711688			ERS180757	8898_2#67		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2004	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.800	2021-08-21T01:34:11.000	2013-02-11T00:00:00.000	EBI
61	1920313	SAMEA1711672			ERS180756	8898_2#66		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2004	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.760	2021-08-21T01:34:11.000	2013-02-11T00:00:00.000	EBI
62	1920312	SAMEA1711583			ERS180755	8898_2#65		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.716	2021-08-21T01:34:08.000	2013-02-11T00:00:00.000	EBI
63	1920309	SAMEA1711623			ERS180752	8898_2#62		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1999	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.606	2021-08-21T01:34:09.000	2013-02-12T00:00:00.000	EBI
64	1920308	SAMEA1711607			ERS180751	8898_2#61		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2006	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.556	2021-08-21T01:34:09.000	2013-02-11T00:00:00.000	EBI
65	1920307	SAMEA1711780			ERS180750	8898_2#60		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2006	Kenya	Homo sapiens															CSF				2013-02-13T19:05:44.530	2021-08-21T01:34:13.000	2013-02-12T00:00:00.000	EBI
66	1920306	SAMEA1711783			ERS180749	8898_2#59		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1998	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.490	2021-08-21T01:34:14.000	2013-02-11T00:00:00.000	EBI
67	1920303	SAMEA1711751			ERS180746	8898_2#56		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1998	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.370	2021-08-21T01:34:13.000	2013-02-11T00:00:00.000	EBI
68	1920302	SAMEA1711693			ERS180745	8898_2#55		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2001	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.333	2021-08-21T01:34:11.000	2013-02-11T00:00:00.000	EBI
69	1920301	SAMEA1711721			ERS180744	8898_2#54		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2005	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.300	2021-08-21T01:34:12.000	2013-02-11T00:00:00.000	EBI
70	1920300	SAMEA1711675			ERS180743	8898_2#53		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1998	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.263	2021-08-21T01:34:11.000	2013-02-11T00:00:00.000	EBI
71	1920299	SAMEA1711659			ERS180742	8898_2#52		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1999	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.223	2021-08-21T01:34:10.000	2013-02-11T00:00:00.000	EBI
72	1920298	SAMEA1711673			ERS180741	8898_2#51		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2005	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.160	2021-08-21T01:34:11.000	2013-02-11T00:00:00.000	EBI
73	1920296	SAMEA1711657			ERS180739	8898_2#49		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1999	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.073	2021-08-21T01:34:10.000	2013-02-11T00:00:00.000	EBI
74	1920295	SAMEA1711667			ERS180738	8898_2#48		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1999	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.040	2021-08-21T01:34:11.000	2013-02-11T00:00:00.000	EBI
75	1920294	SAMEA1711681			ERS180737	8898_2#47		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:44.000	2021-08-21T01:34:11.000	2013-02-11T00:00:00.000	EBI
76	1920293	SAMEA1711677			ERS180736	8898_2#46		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2001	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.963	2021-08-21T01:34:11.000	2013-02-11T00:00:00.000	EBI
77	1920292	SAMEA1711707			ERS180735	8898_2#45		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2006	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.926	2021-08-21T01:34:12.000	2013-02-11T00:00:00.000	EBI
78	1920287	SAMEA1711771			ERS180730	8898_2#40		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2001	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.723	2021-08-21T01:34:13.000	2013-02-11T00:00:00.000	EBI
79	1920286	SAMEA1711799			ERS180729	8898_2#39		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1999	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.676	2021-08-21T01:34:14.000	2013-02-11T00:00:00.000	EBI
80	1920285	SAMEA1711606			ERS180728	8898_2#38		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2005	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.633	2021-08-21T01:34:09.000	2013-02-11T00:00:00.000	EBI
81	1920284	SAMEA1711619			ERS180727	8898_2#37		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2006	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.593	2021-08-21T01:34:09.000	2013-02-11T00:00:00.000	EBI
82	1920283	SAMEA1711565			ERS180726	8898_2#36		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.523	2021-08-21T01:34:08.000	2013-02-11T00:00:00.000	EBI
83	1920282	SAMEA1711563			ERS180725	8898_2#35		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.480	2021-08-21T01:34:08.000	2013-02-11T00:00:00.000	EBI
84	1920281	SAMEA1711577			ERS180724	8898_2#34		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.420	2021-08-21T01:34:08.000	2013-02-11T00:00:00.000	EBI
85	1920279	SAMEA1711682			ERS180722	8898_2#32		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			1999	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.316	2021-08-21T01:34:11.000	2013-02-11T00:00:00.000	EBI
86	1920278	SAMEA1711640			ERS180721	8898_2#31		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															sterile site				2013-02-13T19:05:43.270	2021-08-21T01:34:10.000	2013-02-11T00:00:00.000	EBI
87	1920277	SAMEA1711653			ERS180720	8898_2#30		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															skin, soft tissue infection				2013-02-13T19:05:43.220	2021-08-21T01:34:10.000	2013-02-11T00:00:00.000	EBI
88	1920276	SAMEA1711740			ERS180719	8898_2#29		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															skin, soft tissue infection				2013-02-13T19:05:43.143	2021-08-21T01:34:12.000	2013-02-11T00:00:00.000	EBI
89	1920275	SAMEA1711717			ERS180718	8898_2#28		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															skin, soft tissue infection				2013-02-13T19:05:43.096	2021-08-21T01:34:12.000	2013-02-11T00:00:00.000	EBI
90	1920271	SAMEA1711811			ERS180714	8898_2#24		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															skin, soft tissue infection				2013-02-13T19:05:42.870	2021-08-21T01:34:14.000	2013-02-11T00:00:00.000	EBI
91	1920270	SAMEA1711789			ERS180713	8898_2#23		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2003	Kenya	Homo sapiens															skin, soft tissue infection				2013-02-13T19:05:42.806	2021-08-21T01:34:14.000	2013-02-11T00:00:00.000	EBI
92	1920268	SAMEA1711825			ERS180711	8898_2#21		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															skin, soft tissue infection				2013-02-13T19:05:42.730	2021-08-21T01:34:15.000	2013-02-11T00:00:00.000	EBI
93	1920266	SAMEA1711782			ERS180709	8898_2#19		Generic.1.0	Streptococcus pyogenes	Streptococcus pyogenes	1314			2002	Kenya	Homo sapiens															skin, soft tissue infection				2013-02-13T19:05:42.620	2021-08-21T01:34:14.000	2013-02-11T00:00:00.000	EBI
